Тип контракта,УН экспорт (товар),Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные 
199,- № контракта,"На 1-й странице, 1-я строка и 2-я строка",,SM-1712/22
,- дата заключения (дата заключения контракта),,,17.12.22
,"- дата окончания (срок действия контракта, договора)","На 3-й сранце, пункт 6.1",,31.12.23
,- контрагент (наименование иностранного контрагента),"На 1-й странице, 1-й абзац, 4-я строка;

","1) 





2) ",ООО СТРОЙКОМПОЗИТ-Н
,,,,
,,,,
,- сумма контракта;,"На 1-й странице, пункт 1.2","




Сумма контракта не известна, сумма складывается из спецификации к контракту. 
Клиент в заявлении на присвоение учетного номера контракту указывает ориентировочную сумму равную эквиваленту в 50 000.01 Долл.США (согласно Правил 78 экспортно-импортного валютного контроля).
По этому контракту по курсу НБРК сумма в RUB будет равна: 3 209 315,71 RUB

","3 209 315,71"
,- валюта контракта;,"На 2-й странице, пункт 3.2
(Во всех спецификациях к контракту стоимость указана в RUB)
",,RUB
,- валюта платежа.,"На 2-й странице, пункт 3.2
",,RUB
